Area KmSq,Perimeter m,Latitude,Longitude,ID,Town,Tree Count,Ash,Atlantic white cedar,Basswood,Beech,Birch,Black gum/sweet gum,Cedar/juniper,Cherry,Chestnut,Dogwood,Elm,Fir,Hemlock,Hickory,Ironwood,Maple,Oak,Other hardwood,Pine,Poplar,Tulip poplar,Spruce,Sycamore,Tamarack,Walnut
92.3723,39889.39255,40.63,-77.53,0,Derry,194,1,0,1,1,4,6,0,0,12,1,1,0,1,19,1,4,113,11,17,0,0,0,0,0,1
230.782,69046.64223,40.66,-77.38,1,Decatur_F,260,0,0,1,0,2,7,0,0,8,4,2,0,1,11,0,6,185,8,25,0,0,0,0,0,0
212.362,64732.89096,40.74,-77.12,2,Franklin_,190,2,0,0,0,1,8,0,2,12,4,0,0,2,6,0,4,101,5,43,0,0,0,0,0,0
70.9348,37310.25502,40.58,-77.84,3,Miller_Me,118,1,0,3,0,3,2,0,0,9,0,0,0,1,13,0,5,58,2,21,0,0,0,0,0,0
112.781,48722.57866,40.67,-77.72,4,Jackson_B,164,0,0,1,2,6,6,0,0,12,2,3,0,3,10,0,9,62,4,44,0,0,0,0,0,0
120.529,48121.82004,41.06,-76.95,5,White Dee,339,2,0,0,0,4,0,0,0,5,5,0,0,1,22,1,10,212,2,69,0,6,0,0,0,0
153.746,50865.72093,40.8,-77.66,6,Potter,324,11,0,2,6,3,4,0,1,15,3,4,0,14,28,7,20,123,3,80,0,0,0,0,0,0
386.607,125677.8432,40.86,-78.17,7,Rush,264,8,0,2,1,10,0,0,8,10,1,0,0,40,8,0,28,86,6,56,0,0,0,0,0,0
234.069,68763.67136,41.26,-77.99,8,Keating f,235,2,0,2,3,10,2,0,1,24,2,1,0,25,7,1,25,86,3,39,0,1,0,0,0,1
258.136,83413.37683,41.05,-77.9,9,Snowshoe,204,1,0,0,2,0,0,0,3,15,1,0,0,11,1,0,32,92,3,43,0,0,0,0,0,0
235.83,92746.97249,41.13,-77.96,10,Burnside,138,1,0,0,0,4,1,0,0,23,0,0,0,5,3,0,21,38,2,40,0,0,0,0,0,0
159.268,63731.30629,41.14,-77.65,11,Beech_Bal,184,2,0,0,0,1,2,0,0,8,2,0,0,3,13,1,16,98,4,32,0,0,0,0,0,2
251.427,71234.01914,41.09,-77.28,12,Crawford_,415,5,0,2,7,17,1,0,2,25,1,2,0,14,31,2,18,205,7,75,0,0,0,0,0,1
137.443,60247.02559,40.79,-78.11,13,Taylor_Wo,259,0,0,2,2,7,1,0,0,32,3,0,0,26,10,3,28,104,8,32,0,0,0,0,0,1
130.228,46255.62668,40.85,-77.95,14,Huston_Pa,220,1,0,2,2,1,1,0,0,7,1,3,0,0,22,5,19,115,1,39,0,0,0,0,0,1
188.085,63802.75144,40.75,-77.97,15,Half Moon,316,1,0,2,1,3,3,0,0,21,2,3,0,5,24,0,10,139,3,98,0,0,0,0,0,1
138.279,48999.1907,40.79,-77.79,16,Harris_St,243,0,0,0,1,8,1,0,3,6,2,1,0,0,22,0,5,154,3,37,0,0,0,0,0,0
264.768,69687.50535,40.96,-77.85,17,Union_  B,439,5,0,1,1,6,1,0,0,42,7,3,0,6,31,3,18,244,1,66,0,0,0,0,0,4
180.262,59384.31223,41.05,-77.7,18,Curtin_Ho,295,3,0,4,2,5,3,0,0,10,4,1,0,8,27,0,10,163,7,45,0,0,0,0,0,3
147.254,51333.7859,40.89,-77.77,19,Spring_Be,218,1,0,0,0,2,1,0,0,3,0,1,0,0,31,2,4,114,1,57,0,0,0,0,0,1
279.364,84609.29582,40.93,-77.36,20,Miles_Hai,398,4,0,3,1,12,7,0,3,29,2,1,0,41,22,4,27,125,4,109,0,0,0,2,0,2
222.192,58135.73806,40.85,-77.55,21,Penn_Greg,321,5,0,3,2,2,2,0,1,13,1,6,0,30,28,0,27,128,3,67,0,0,0,0,0,3
164.937,54641.52246,40.96,-77.62,22,Walker_Ma,309,2,0,0,0,0,3,0,2,8,1,0,0,6,31,1,11,132,4,108,0,0,0,0,0,0
158.081,69520.55278,41.19,-76.94,23,Clinton_B,196,0,0,1,0,1,3,0,0,11,2,0,0,2,12,1,8,109,5,40,0,0,0,0,0,1
159.872,56765.41421,41.15,-77.16,24,Sesquehan,176,2,0,1,0,6,3,0,0,9,0,1,0,4,11,1,9,90,2,36,0,0,0,1,0,0
